Lot ID,Item Description,Qty,Unit Retail,Ext. Retail,Item #,UPC,Vendor,Brand,Category,Seller Category,Condition,Notes/Comments,Pallet ID
ONT-6954689,SS WF45T6000AW 4.5CUFT,5,719.99,3599.95,1446987,"499996773973,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVE45T6000W 7.5CUFT,4,899.99,3599.96,1446988,"887276412634,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG45T6000V 7.5 CU. FT,4,899.99,3599.96,1492951,"887276439426,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WE402NW,4,249.99,999.96,1326847,"499998193007,",SAMSUNG ELECTRONICS AMERI,Samsung,MIXED_MAJOR_APPLIANCES,Appliances,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG53BB8700V 7.6 CF G,3,1399.99,4199.97,1688295,"887276657301,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WF45T6000AV 4.5 CF FL,3,979.99,2939.97,1490895,"887276436548,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG45T6000W 7.5CUFT,3,899.99,2699.97,1447003,"887276412641,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVE45T6000V 7.5 CU. FT,3,799.99,2399.97,1490907,"887276439419,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DV90F53AGY 7.6 CF,2,1279.99,2559.98,1932508,"198957074219,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG50BG8300E 7.5 CF GA,2,1249.99,2499.98,1688331,"887276660882,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WF53BB8700AV 5.3 CF FL,2,1149.99,2299.98,1688292,"887276652245,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS @ WA55A7300AE WASHER,2,1129.99,2259.98,1588429,"887276751221,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG52DG5530W GAS DRYER,2,779.99,1559.98,1932524,"198957224508,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG41A3000W 7.2 CF,2,649.99,1299.98,1751675,"887276502014,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS @ WE502ND PEDESTAL,2,249.99,499.98,1688362,"887276665276,",SAMSUNG ELECTRONICS AMERI,Samsung,MIXED_MAJOR_APPLIANCES,Appliances,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WE502NV LAUNDRY PEDEST,2,249.99,499.98,1688364,"887276665290,",SAMSUNG ELECTRONICS AMERI,Samsung,MIXED_MAJOR_APPLIANCES,Appliances,USED,,"ONT-6954689, 51 Units"
ONT-6954689,"SS 27"" STACK KIT SKK-8K",2,32.99,65.98,1331885,"499998170329,",SAMSUNG ELECTRONICS AMERI,Samsung,MIXED_MAJOR_APPLIANCES,Appliances,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WD90F53AVS BESPOKE AIO,1,1949.99,1949.99,1813407,"887276989181,",SAMSUNG ELECTRONICS AMERI,Samsung,MIXED_MAJOR_APPLIANCES,Major Appliances,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DV90F53AGS 7.6 CF,1,1649.99,1649.99,1932505,"198957074202,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WF90F53ADS 5.3 CF FL,1,1549.99,1549.99,1932498,"198957070556,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG53BB8900D 7.6 CF,1,1329.99,1329.99,1685235,"887276657318,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG50BG8300V 7.5 CF GA,1,1249.99,1249.99,1688328,"887276660899,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WF53BB8900AD 5.3,1,1229.99,1229.99,1685183,"887276652252,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DV90F53AES 7.6 CF,1,1179.99,1179.99,1932499,"198957074172,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVE53BB8900D 7.6,1,1149.99,1149.99,1685234,"887276657257,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WF50BG8300AE 5.0 CF FL,1,1149.99,1149.99,1688329,"887276660905,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG45B6300W 7.5 CF GAS,1,1099.99,1099.99,1598765,"887276628073,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WF50BG8300AV 5.0 CF FL,1,1049.99,1049.99,1688326,"887276660912,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS DVG55CG7100W 7.4 CF,1,1049.99,1049.99,1748199,"887276740980,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WA55CG7100AW 5.5 CF,1,799.99,799.99,1748197,"887276739144,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
ONT-6954689,SS WA52DG5530AW TOP LOAD,1,679.99,679.99,1932523,"198957223693,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED,,"ONT-6954689, 51 Units"
