Lot ID,Item Description,Qty,Unit Retail,Ext. Retail,Item #,UPC,Vendor,Brand,Category,Seller Category,Condition,Notes/Comments,Pallet ID
BRI-6798213,SS RF29BB860012 4-DOOR 29,1,2149.99,2149.99,1644523,"887276639840,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG LCFS22EXS 21.8 CU FT,1,1749.99,1749.99,1715569,"195174059234,",LG ELECTRONICS USA INC,LG,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG LSIL6334XE 6.3 CU FT,1,1599.99,1599.99,1942108,"048231349055,",LG ELECTRONICS USA INC,LG,KITCHEN_APPLIANCES,Ranges,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS NSE6DG8100SR 6.3CF ELE,1,1049.99,1049.99,1813360,"887276817279,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Ranges,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG DLEX6500B 7.4 CU FT,1,999.99,999.99,1712968,"195174052945,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG LF29S8250S 29 CUFT,1,2449.99,2449.99,1817329,"195174060766,",LG ELECTRONICS USA INC,LG,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG @ WKEX200HWA EL TWR WH,1,1499.99,1499.99,1476909,"048231028462,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Laundry Suites,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS NX60A6511SG 6.0CF GAS,1,999.99,999.99,1542915,"887276509570,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Ranges,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,EL ELFW7626BW 4.5 CU FT,1,879.99,879.99,1812218,"012505386442,",ELECTROLUX CONSUMER PRODU,,LAUNDRY_APPLIANCES,Washers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,EL GDSH4715AF TOP CONTROL,1,849.99,849.99,1893021,"012505116339,",ELECTROLUX CONSUMER PRODU,,KITCHEN_APPLIANCES,Dishwashers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,MORA MRB172N6ASE 17.2 CFT,1,749.99,749.99,1647175,"810088361166,",HISENSE USA CORPORATION,MORA,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,HS HFU101N1AVE 10.2 CUFT,1,429.99,429.99,1930479,"810088369797,",HISENSE USA CORPORATION,Hisense,KITCHEN_APPLIANCES,Freezers,USED_FAIR,,"BRI-6798213, 55 Units"
